id,text
99,li het lo ga suh kom u kuan u kau suh bi tsau tshut lai
100,hua lai khi tean ian 
101,bo lun lu ho li gua i king tsit tui ho tsing phuan
102,lang ua ko san pi giap e ing gi tsuan giak thang ng ni
103,i khi ia mih kian kai ho tau bean gua ku to tau e ho
104,na bean siong pan to u tsin gua sui si thau lo
105,eh
106,mng kian kuan ho ho o
107,si tso tai gi bun bun ku e hun thia pha sen li iong gi huat tshiu phah sn ki kai tsin gi su tah phue e tsing khauk lu
108,sui pham be khi li kho ling ai kau tsit tai phang kh lai pha
109,sim kuan
110,ha tshian
111,tah bong si tshiu na siong sui e si tsun bong tsiong it tshe kho tso tsit hue bo gua bo li
112,i ka te san liap in ear ma tsioah tsiah loh khi na tsia ko a oh loh kong ua gua tsu tshut si kou tan m ba tsiah kue tsia ni phang e in a le
113,ling gua king ki ing bun e gi liau kho tso tshut lai gi su tah phue kai su in thtsi si tai bing su la tskuan su o boh in ui pin lo tsin kuan tsia e gi su e gi su tah phue ofo laicbgo tsut pi in o ma long pai ti tsian thau tsin
114,i kai piak kian siau tai i sing kau ke kinm kong tong kui loh iok e po hiam kim ho phian liau lia
115,i si tsit e tsin lau sin e sean sin lahng
116,lok sili tsih tua kho tai tsiae ka gua se tsit e khong kian
117,kia tat ka ti e tsu tiun tshu bi ah si kong tsit kua tshio khue
118,beh pah khong tak phin ia gam tsio iu huat tian kin Oo phi k te ui put po
119,sit leoh
120,i ui tiok phio bang ne king lean kong lung po tshuan ka si ping kui si tshau tsit tshut tai uan lang thi beh tua ki phin tean hian
121,ah li me gua tho lui si li long tioh gua e ne
122,thau ke a m thang nlah
123,tsiok tse lang leh i at lak a e ti sian mih si tsun to tan
124,bo lun tean si ia tean tai ta ke sian sian ku ku kam sian ui tai e bu tshin tak ke long su iau
125,hau tiun sian mih tai tsi
126,gua hiong i suat bing hit kian tai tsi
127,ki tsun ho lan the lai lia siu khi e tsiau a
128,kam ka khi lai ma e u tam po a iu tshiu guan lai khuai lok e guae in m si tso sian mih tai tsi
129,ke lang bioh khau e thian pu la siong u mia
130,tsu tsiah kong hng lai u tsian tse lang ti hiah sng phok khem mo
131,ti bi ko po tin mor tsing tsok po tong tng iam e si tsing tshu bin tsu tong theh mia tsham suan tsong thong e
132,na si tsau kang o e kua leh to si thong ko na si khi tsiah kua leh to si phiang ko tse si kang khua bo kang sai hu tsuat tui m thang hu m tioh
133,gua ka ti lai toe sai ah
134,bun lim guan kuo khin hiong in khuan pin a to u tsit king san tsap ni kiun bo a la
135,tsan tsap hue i au to tso sean sioh m bian tsiah png a hioh
136,thang ki a lai king to tsit e suan hang siong tho to
137,ka lin pe tiam lah kon
138,iu un gean tai hain ki suat hak in tsu sin kang ting he tso li kau siu
139,pu a li khuan le tsiok sui tsiok ko tsui e iun tson neh lang be ti tsit su lah tsau gin a ki tui po le tu lah te
140,tsean se i tsit kui kang liam i hua kuan liam mi hua lua kanh e si tioh ma la li a
141,ui tsit e kak to khuan tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kan gi
142,la si pai kui beh pueh bong
143,li tshia gua bo lng pai to huan hue ah
144,hue na e bo kuan an
145,peh khi li khuan mahi
146,iau kiu khah ho e sia hue tsing tshik
147,oak kong li tsit le ko mng kau ah gun toa e leh ka li kong ue li tsit ma si sian thai to a
148,a pahm ma pha ou pah m kan
149,in e put buan ko kah lai tsu san tsia e tsong kha e punt buan hue hap tui sia hue un ting tso sing thiau tse
150,sin tik tshi tsit ui go hue tsa po gin a in ui ui tng iam Phak tshut tua tng phah khang kin kue kin ki b e tshiun sut tsiah kue bin
151,li tshiug lik khi lai sun suan ka li pong hui a
152,ho
153,i e phue hu peh pi peh
154,ti kik lun tsok tsia kong opama iu tiahm si i tsu tiong su iong king tse ka gua kau e linkg lion
155,li khuan mui tsu uo tsiah kau kin ke tsit ma tsing khui tsiah bakt tai tsi gua tui tai ka u kau tai ah la
156,a lim pe a m ho a lah len tsa bo kian ui tsin tsang ting poa loh lai
157,bo khuan e khai kue sim
158,a tsit nia iun tsong tsik sui e
159,li thau mng tshui tshiu pe lau khok kho a ia ko siun be kah ang tshuan sui bo
160,lan tsit tsun kit lok kang ain ng tiam puan tsing
161,au peiau na bo lo ui hue ka thia tiau leh tho tik biau khu e tsiu giap hok bu tiong sim kam kan an ne luan bu
162,an
163,gun kian tshing aiarl e kam be sai ho guen tshi tshin
164,tsai tiun e hai mi a long si hua thai ko nuoa loh sen thau huat gue shue khau phua siun puai ko tshi tshua khuan tioh ua be khi ki bo phue
165,gua e sing khuan la
166,in ui hue gam tian tian su iau hua lia ti iau kue thing ho i thian tiuh ti
167,te pok tsu lah gua m tsai to lo ti si tioh li honh so hue a tsian se ji an ne ka
168,au tsing kong ui tioh pi sea leh sia he gun na sin nua tha on lan to m si to leh koh ah si u ian hih iau i hia e tsiong kin
169,pun tsiun si tan tan e pe tsho ka suan jion
170,siung beh ka ti khuan b a koh ai sing khi be tsit tso khah ho e Gib Iu siat pi
171,gua e ka a kong tshuat lai khi tshai tshi a
172,mh ha haha a
173,si tsi e sim kha kam be tang tshah ti san ti e tshiun ki a lai bin
174,hi hang tshai lai ti u tsham li bong tiohm lia bong bi tsin kau tsin phan
175,a tsui pe a sang ho gua san tsap pau thng na
176,siang khi tau thih tsit ki phean tsi lah ka tin a giap ho khui
177,lai tse lai tse
178,gua a put la e ing tsit su
179,h la in a i king tsia liau ah kin ea jit to kau tsian ui tsi loh han tsing li an ni ka tak ket kog
180,lai khui mng leh
181,ting ki si kan kau ah tak ke kin khi hou ki sik tsun pi ting ki tsin tsing ai sing tshuan kho ho tsiau ka ting khi tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
182,a peh
183,khin i hiong e sng tshuo sinm lia thang huei pang ho tsho tsong i u hi kang tiong li pho sjit gu e ban
184,kue lah tsit si a lah
185,sian mih thau lo e p tsit lo khah ho
186,a peh si gua
187,tsung uae ho ghuat tsiah
188,tsia bo huan ging lin lah
189,ko le khi sing ti ua beh lo si
190,tsi gua tsit kha su li pa phah ka tsua
191,ong thai tha lin sim pu sit tsai tsin gau tsu ka kui to phang kong ko
192,ho un lah
193,li si tui to ui tit tioh tsit tsiah ang a e
194,an ne siu kai u e bo bun te po hun kho ling u bun te
195,a ting ai e lah
196,e khi tshit tioh lang e i su
197,a me a si beh khi tai pak ah si beh khi tai lam
198,tain si
199,gua khuan tioh ti a
200,phang koh tua liahp e in a oh tsit liap tsit kak gin ng liahp ng kak gin san liap tsiah bean tsin io huah be sian khi in tsit kua kian luo lang eg tsu
201,gua hit tai tshia tsue kin tsiah ka si liap thai ia tsuan po uan kue
202,su hong be tang pai thik sin lo ah si khi in thau lo e lang kong tai gi
203,iau m koh u lang ui tioh koh jin e li ik lang hong sian beh la sio tsin
204,tsit siang bue a
205,ho liong bo huat tok tsun si si le
206,pua pin tioh tsun pi tai sing tshiang kui ki tsing liang thian hun bing su au bo in tin
207,m siak phin e ian guan tso khi lai ma bo kai khuai lok lo pin e ke iu kui jit ing sean sian
208,aih ioh
209,sa hai thai lu i king pit khui ah a khah ta ue kioh sai hu la uan
210,kue hai kun tsin tsing u tsui ah si pak khuan tshiau kue tsit pai si si e ik theh long ai to tiau u lai tah to an ah si pak e ui kin phin e tshian tsu tong tan tiau be sai tsah ti sing khu ti
211,li e phue hu bong khi lai iu iu iu be sun la gi a le
212,he thai e sai gua iau be tsiah tioh neh u lang bo huan hi leh tua sian hua
213,ah ha ah hah ah tsiong keh a sion peh a
214,tho khan tu jiu ho kut liu siu tioh si ji liau liau a kian
215,sen ang e kau guan si to tsit e
216,thion beh ho se kai koh kha uan bi siun beh ho ka ting koh khah hing hok siun beh ho se mia koh khah tshiong sit so i
217,kiong tsing khon
218,be li siun khih khi la
219,kong bon on ku to beh khi tha tang tshiu a
220,li tioh ai khun khun ho pa
221,thng siun tin gua bo se ji tsiah tioh li e kho
222,lan tsap ni tsing ka jip kah bi tho be be mih kian khah bo khio su
223,hua tso bu hing tsho tshu khan ting ti tai uan hian tai si te san tsap ji ki
224,tsit e ah si hit le
225,hai kuan thong kue liau au tsiah khi hau khi sik sio tan si kan na u kha liong e tang khi seh bean sue ke
226,mui tsit e lang long si tok li be mui tsit e lang long u ka ti e sing gua king giam kah ti sik
227,gua
228,kin a jit e ting hun to honh kam e sai tshian li the gua ka tsit kua tong tshong an lai khi n e ui a ho bo
229,in to si bo ting eSop tsia e tapk pai long e lau koumih kian
230,i koh sia kong tng tso phahi e ti tsuan seh kai si khi khuan ui kau ting iu koh kong ue u sian
231,ki tsai to sang kai u tsun giam ka tsit ma i o sian kang khuan
232,in ui siam pi o to ba sua tsing tioh ang mo tho ho noa kiau tshia e tshia thau thap oh tsit e tsin giam tio
233,lai tsia pai tui ho
234,siong ko m khikg ho bi ko e tshi tshit ean ki ke tse pean tok sam phu lu
235,kio sian mih mia
236,mai an ne bo tai bo tsi to ka lang phn
237,mai an ne lah
238,eh kau thong hiah ni bo hong pen
239,li e hak giap khaiht iau ki
240,a kam ma
241,kau tan guan tsu bin e tain iong ka ti e bu gi sia kong bun khah sit si tsuan hing tsing gi koh tsai hua tsit tua po
242,tsu tsia e lang ka i bi tsit te tho tho hi i hiam siun tsi thoa to kuan khi hing ho lan
243,sio tea lo e phah tseh long si ke kim pun bo siok gua tse
244,sau di tshit tsap kau hue sin kok ong sa mn kin ni tsian gueh tsiah ting ti tse ui
245,bo gkua sit lai
246,shiu lai theh hit tiun phue tsua na tha bak sai na thup tuti
247,kin leh kin e a ha phua o khi ah
248,ko san tso si hih khu
249,na mng kong tsui kin sua loh lai kam ko e u hong thai siong tsio tsi si go kang si bo khuan e lah kuan tsiong ping iu ing kai si bem huan lo
250,khah kong ma hi
251,a bu gua iam si san hue gin a na e be hong sim
252,tsan le kam mo a pah tak li the tshing ka
253,tui in tshu lai tshiong kik si sian khuan in tiong tuan e in sing beh an tsuan
254,kong ue tik tsing king m thang hi hi tshi
255,sun sun le
256,gua khuan be tshut lai gua sia tsoak bun si to tsit tiam bo ho
257,sho ho ho lag a liau kuai lan to be tsit su ho la mai hau honh kua
258,ah li tsang g toh kio gua khi be tsit kua liau gua khi huan hu la
259,tin tsing kui kang gua kau tsing tshik e sia tiun teli lostkco tu ho ma sia bun tsiun ki tshut tsit tsiong tso huat u tsin tse hong hiam pa kua bo huat to ing hiong su thai e kiat ko la po tsing bi kok e li ik sim tsi siong bue ma si tioh theh pat lang tsit kha tshn
260,han tsing li tsim tsiok ka siau lian ke khuan khuan le ka kong sia lian eh li tsan ian bo guaei in a tsiah san liap bean tsin naeh
261,li lai kau ko bio e kah lati
262,bo ka li phian suimatshai kuet po si tsai u kau ho iong e lah na tsun kong li su iau hnh ea tang ui guan tsia theh kui li a tng khi lu khuan mai
263,thau ke guan nau hiah san iSe guan na tshing e lue
264,hi lai tsiah pong bo
265,lak bi la hong hiog
266,si an tsuan int e tang huan bian tsin eh gu be iong tsit lah
267,tsit ma si guan tsu bin tsok i ng bang bi lai khie kai gi tai gi long u ki hue
268,thian mng e te to tsit ku e kong huat lan tai gi be an ne kong
269,li kam giau koh u ki than e hong huat lai tso tong siu hua
270,hai ang tai gi bun hak gue khan te tsit pah khang ji ki
271,sua lo lai peh lai siau kai hue ling ki e an tsuan seat pi to sing mng ti hue ling ki e ng ping sang so am ti thau khak ting kio sing i ti i a khah
272,gua thai h li so i tsiah tsiah ni tshong pon
273,o sui a bai ah
274,te tsheh phain a bin ting u san e tsiu tsiu sani sik tsui long bo kan
275,tin tiam
276,tiam tiam tit pin a tso bo su jin
277,tio ai pe bu tsu hun a u jin ke lang kai siau tsui hong tsa po a m tsai hima ho lua luan kau
278,siong giap so kam hik po ju si tong king ik kiap kiu tshut bu ki tshuh kai huai si kia sing tha
279,ai i to kau ho li tsiauh ko honh
280,tsiu ho gua koh lim kui pue ah ho bo
281,li kong le
282,m bian bua hiah min
283,oh m
284,sat bak a tu liau kau tshi i gua koh u sian mih tik si
285,li ka sing uae tiong sim khng ti to ui bo tai tsi thang tso e si li kam e khang hi tsit e lang e si
286,tsit uan tho tau kha khong ka mih mih mih tsian ho loh au
287,ko tiam ji a N su tso
288,tsit uan pong ling li
289,hngh m tsian ni
290,soni tshiu ki a kam u ho ion
291,e sai tsih tsin ah si be saih
292,tsit e u thia sim i a i koh kah in ting se sing khu tsit pai phak ta liau au the uat tau ka u ka tshiun sin e kang khuan tsing tsha sik tsui u khah si
293,m thang tsha i
294,li sian mih si tsun beh tng khi tai pak
295,thian kong gin a lang kho u a khah gou tuo
296,tng lai ah
297,sin lun te tshian kai sue tsok tsiae so kong lu sing m si tshut si to tsian tso lu sing si hong kau iok tso lu sing e tsit ku e i ham tsap hun
298,bian koh pian han kah ni te li tsin to hain gua la
299,tsian mih lang kong li tshin a khuane sim
300,eh ah li tsiah kau a kai mia lah ah lin pe kio tse tsio a kau la
301,bo jin ho e kuan he
302,pean pa lah si gun a kong khah tsa shiong ai khuan e
303,ti le ko tsai si tsun bean tong long e kap tsit liam mue a kah tsit te tha khu a
304,eh a tsia ong ka tean ting khi la
305,li na koh kiam ji san tsap hue ah honh gua tsia pha huo li tsiah
306,an ne bin a tsai kam kang khua si tsit liap tsit ka gin ng biap n kak gin san liap tsiah bean tsin leh u lang an ne m
307,kau tan iau u tsiok tse siau lian lang e tua gi ta khi biok tsa bo gin a
308,ki of AB uan sio i phi of a sing phi of B so i em of AB si hu so
309,tng tang sin the huat tshut sin sit kong i i king siun pah li suah kong m koh kien n ko tsin sui
310,sin niun sin niu sui tang tang kho te ho ho bo phuan khang si long pue a phang kuan kuatn kian sun tai tai tiong tsiong uan
311,ui tioh siau lo tshi tiun tua lat thui siak kik tuan e siau hui tsu gi ho lang tsit si a to sui tiau ti bo pit iau e khai siau
312,beh iong ing bun kah lang ko thong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau an mn
313,tsi puk koh tse ka lean bing lai te ki than tong phai e i kian u sio khan lian
314,mh
315,kik hua tui khong e bok tik ki sit si po tsing i ka ti tsiamg a kok ka e khuan li
316,u goa khing po to tshin tshiun klinton si gue e ji kau ti niu io e khlndi a tait hak tsit tiun ean suat ko
317,li tsit e lau kau li kam bo hun
318,na si aBi tian tian sing tui tshut hian m koh e au piah e tsiah B i gua e su bi thau tsing ma kho ling et tsiap e i gua e
319,i kia ka bin sik pe sut su
320,iu tong phing sin sin iu tong phing sean jsin li nau bu tong leh tshue li tshian kau ti ji kui ta sio tain to sia
321,in tau e tean hue long ua e lo i ti ke tsian kong e
322,tshia li ti ton tsi sian liau au khai si lau ue to sia
323,tsit te phang lai te khu li mu iau koh sio sio gin a lang un ai tsiah 
324,tin lai kue liau an tsuan
325,thi khi tua kuan tha tsit nia o ba khah ho
326,ah gua koh lai tsiau ho lang kheh lah honh
327,ai iam m si lah
328,tong sing hun hap huat hua koh lai khuan o tsiu
329,lai hang lang oh lo u hing ui gua hang e kong gua ok kiak khia
330,ng e lang hian ni ho suah kian kau bue bo ua kho ai tshin tshiun sat bun phue tsing hun na e tsiah ni po
331,tse to tso sing m na si kan ga siun kheh hui iong siun kuan kuan li siun khuan lan nia nia tsiah se lang khi kuan
332,long ho se hong nu the khuan tso si sin tsing khuan tui gua tsing tshik khah tok l tsih kik e tiau hi
333,lin ng e ti hia si si su sut si teh kong sianh
334,kiu khung ni ta hua bun e tsu liau kho ma khai si ti tai uan tiong kok ting so tsai kean li
335,ma ma bo pe thian l
336,tsiun khuan mai kong khuan mai be a kah iun a tsha ti to
337,a lak la pha be kua
338,iong hiong u tsit e lang ka i ioh tsing sin i bak tsiu nia kim khuan tioh tsit e bin tshiun tsik bai e tsa po lang tsian tua sian ka hua
339,sC la gun tsai ian m tioh a la
340,gua u khuan tioh
341,i ki kui puan po long khi bo tham
342,i sing jin iau koh u tsin tng e lo ai kian
343,tsap ji pue a siak phoa kam iau kin
344,tit jit pun sa khu la khui e hit tang tsun khui phian ang ki ki ka su
345,bi kok kah Iran ma u kiong tong li ik pi lu Iran tsi tshi e Shia bin ping
346,si lai tsi sin bunm bang tsa e phing lon kan tin meau po i gin ui tsi nu si tai i gi
